3783.0,16.3,7208.0,5.0,52.3,3.0
11216.0,11.0,7255.2,5.0,64.1,3.0
11481.0,13.8,7080.8,10.0,54.8,1.0
13747.0,16.8,7128.5,50.0,75.0,3.0
1808.0,6.1,6903.5,105.0,88.1,3.0
3878.0,5.3,6613.3,188.0,71.8,11.0
3086.0,5.9,7276.0,229.0,67.8,10.0
4573.0,6.7,7165.5,194.0,97.4,16.0
4817.0,9.0,7196.4,10.0,103.7,7.0
1428.0,9.6,7156.2,148.0,151.5,6.0
2922.0,6.5,7495.8,147.0,99.0,9.0
2025.0,4.7,7322.8,82.0,62.0,2.0
3002.0,7.2,7268.3,100.0,51.0,5.0
958.0,7.7,7224.8,80.0,49.9,10.0
2207.0,9.5,7210.9,123.0,83.7,9.0
2058.0,9.2,7261.7,53.0,67.7,8.0
991.0,17.3,7321.5,30.0,52.5,2.0
4670.0,8.0,7397.5,20.0,48.3,1.0
6167.0,14.3,7261.8,120.0,61.9,0.0
3335.0,13.5,7196.4,45.0,68.5,2.0
1938.0,5.9,7199.8,50.0,50.5,9.0
6610.0,7.2,6967.0,126.0,67.5,17.0
